Date;Nouveaux cas;Cumulatif de cas;
2020-10-14;268;38157;
2020-10-15;254;38411;
2020-10-16;259;38670;
2020-10-17;269;38939;
2020-10-18;190;39129;
2020-10-19;239;39368;
2020-10-20;254;39622;
2020-10-21;285;39907;
2020-10-22;221;40128;
2020-10-23;241;40369;
2020-10-24;166;40535;
2020-10-25;215;40750;
2020-10-26;354;41104;
2020-10-27;241;41345;
2020-10-28;210;41555;
2020-10-29;216;41771;
2020-10-30;194;41965;
2020-10-31;233;42542;
2020-11-01;234;42778;
2020-11-02;192;42624;
2020-11-03;237;42861;
2020-11-04;241;43102;
2020-11-05;324;43426;
2020-11-06;262;43688;
2020-11-07;270;43958;
2020-11-08;272;44230;
2020-11-09;266;44496;
2020-11-10;319;44815;
2020-11-11;345;45160;
2020-11-12;282;45442;
2020-11-13;326;45768;
2020-11-14;302;46070;
2020-11-15;275;46345;
2020-11-16;305;46650;
2020-11-17;238;46888;
2020-11-18;230;47118;
2020-11-19;281;47399;
2020-11-20;250;47649;
2020-11-21;261;47910;
2020-11-22;297;48207;
2020-11-23;276;48483;
2020-11-24;244;48727;
2020-11-25;296;49023;
2020-11-26;345;49368;
2020-11-27;415;49783;
2020-11-28;446;50229;
2020-11-29;362;50591;
2020-11-30;335;50926;
2020-12-01;413;51339;
2020-12-02;458;51797;
2020-12-03;445;52242;
2020-12-04;496;52738;
2020-12-05;514;53252;
2020-12-06;479;53731;
2020-12-07;461;54192;
2020-12-08;523;54715;
2020-12-09;578;55293;
2020-12-10;544;55837;
2020-12-11;637;56474;
2020-12-12;724;57198;
2020-12-13;562;57760;
2020-12-14;669;58429;
2020-12-15;554;58983;
2020-12-16;694;59677;
2020-12-17;927;60604;
2020-12-18;802;61406;
2020-12-19;689;62095;
2020-12-20;645;62740;
2020-12-21;748;63488;
2020-12-22;753;64241;
2020-12-23;694;64935;
2020-12-24;867;65802;
2020-12-25;932;66734;
2020-12-26;746;67480;
2020-12-27;799;68279;
2020-12-28;835;69114;
2020-12-29;996;70110;
2020-12-30;927;71037;
2020-12-31;740;71777;
2021-01-01;1210;72987;
2021-01-02;923;73910;
2021-01-03;786;74696;
2021-01-04;766;75462;
2021-01-05;815;76277;
2021-01-06;1083;77360;
2021-01-07;1270;78630;
2021-01-08;1036;79666;
2021-01-09;815;80481;
2021-01-10;775;81256;
2021-01-11;557;81813;
2021-01-12;856;82669;
2021-01-13;728;83397;
2021-01-14;810;84207;
2021-01-15;711;84918;
2021-01-16;875;85793;
2021-01-17;578;86371;
2021-01-18;462;86833;
2021-01-19;628;87461;
2021-01-20;666;88127;
2021-01-21;760;88887;
2021-01-22;601;89488;
2021-01-23;557;90045;
2021-01-24;423;90468;
2021-01-25;498;90966;
2021-01-26;588;91554;
2021-01-27;453;92007;
2021-01-28;567;92574;
2021-01-29;494;93068;
2021-01-30;547;93615;
2021-01-31;386;94001;
2021-02-01;467;94468;
2021-02-02;556;95024;
2021-02-03;480;95504;
2021-02-04;521;96025;
2021-02-05;544;96569;
2021-02-06;507;97076;
2021-02-07;405;97481;
2021-02-08;328;97809;
2021-02-09;448;98257;
2021-02-10;550;98807;
2021-02-11;471;99278;
2021-02-12;472;99750;
2021-02-13;336;100086;
2021-02-14;348;100434;
2021-02-15;318;100752;
2021-02-16;408;101160;
2021-02-17;327;101487;
2021-02-18;371;101858;
2021-02-19;394;102252;
2021-02-20;380;102632;
2021-02-21;400;103032;
2021-02-22;256;103288;
2021-02-23;418;103706;
2021-02-24;407;104113;
2021-02-25;383;104496;
2021-02-26;394;104890;
2021-02-27;319;105209;
2021-02-28;247;105456;
2021-03-01;256;105712;
2021-03-02;387;106099;
2021-03-03;300;106399;
2021-03-04;374;106773;
2021-03-05;279;107052;
2021-03-06;399;107451;
2021-03-07;265;107716;
2021-03-08;259;107975;
2021-03-09;390;108365;
2021-03-10;313;108678;
2021-03-11;364;109042;
2021-03-12;387;109429;
2021-03-13;278;109707;
2021-03-14;265;109972;
2021-03-15;245;110217;
2021-03-16;335;110552;
2021-03-17;312;110864;
2021-03-18;351;111215;
2021-03-19;317;111532;
2021-03-20;265;111797;
2021-03-21;306;112103;
2021-03-22;228;112331;
2021-03-23;334;112665;
2021-03-24;368;113033;
2021-03-25;354;113387;
2021-03-26;360;113747;
2021-03-27;307;114054;
2021-03-28;256;114310;
2021-03-29;303;114613;
2021-03-30;374;114987;
2021-03-31;396;115383;
2021-04-01;359;115742;
2021-04-02;385;116127;
2021-04-03;352;116479;
2021-04-04;297;116776;
2021-04-05;291;117067;
2021-04-06;306;117373;
2021-04-07;404;117777;
2021-04-08;395;118172;
2021-04-09;515;118687;
2021-04-10;298;118985;
2021-04-11;377;119362;
2021-04-12;264;119626;
2021-04-13;375;120001;
2021-04-14;354;120355;
2021-04-15;432;120787;
2021-04-16;366;121153;
2021-04-17;352;121505;
2021-04-18;219;121724;
2021-04-19;252;121976;
2021-04-20;276;122252;
2021-04-21;311;122563;
2021-04-22;316;122879;
2021-04-23;228;123107;
2021-04-24;340;123447;
2021-04-25;201;123648;
2021-04-26;244;123892;
2021-04-27;292;124184;
2021-04-28;312;124496;
2021-04-29;344;124840;
2021-04-30;325;125165;
2021-05-01;264;125429;
2021-05-02;211;125640;
2021-05-03;229;125869;
2021-05-04;238;126107;
2021-05-05;202;126309;
2021-05-06;261;126570;
2021-05-07;281;126851;
2021-05-08;213;127064;
2021-05-09;198;127262;
2021-05-10;188;127450;
2021-05-11;263;127713;
2021-05-12;261;127974;
2021-05-13;290;128264;
2021-05-14;246;128510;
2021-05-15;207;128717;
2021-05-16;190;128907;
2021-05-17;193;129100;
2021-05-18;209;129309;
2021-05-19;265;129574;
2021-05-20;248;129822;
2021-05-21;197;130019;
2021-05-22;183;130202;
2021-05-23;116;130318;
2021-05-24;157;130475;
2021-05-25;165;130640;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
